Type,Name,Wikidata ID,Description,Image,Reference,Government Position,Private Sector Position,State
Person,Fred Upton,Q505236,,,,Representative,,MI
Person,Chris Van Hollen,Q1077819,,,,Senator,,MD
Person,Nydia M. Velázquez,Q434890,,,,Representative,,NY
Person,Peter J. Visclosky,Q514660,,,,Representative,,IN
Person,Tim Walberg,Q978618,,,,Representative,,MI
Person,Greg Walden,Q1397359,,,,Representative,,OR
Person,Timothy J. Walz,Q2434360,,,,Representative,,MN
Person,Debbie Wasserman Schultz,Q50104,,,,Representative,,FL
Person,Maxine Waters,Q461727,,,,Representative,,CA
Person,Daniel Webster,Q106231,,,,Representative,,FL
Person,Peter Welch,Q1112656,,,,Representative,,VT
Person,Joe Wilson,Q928855,,,,Representative,,SC
Person,Frederica S. Wilson,Q461504,,,,Representative,,FL
Person,Robert J. Wittman,Q541251,,,,Representative,,VA
Person,Steve Womack,Q1029527,,,,Representative,,AR
Person,Rob Woodall,Q2156128,,,,Representative,,GA
Person,Ron Wyden,Q529344,,,,Senator,,OR
Person,John A. Yarmuth,Q699970,,,,Representative,,KY
Person,Kevin Yoder,Q187037,,,,Representative,,KS
Person,Don Young,Q1239590,,,,Representative,,AK
Person,Todd Young,Q25483,,,,Senator,,IN
Person,Dean Heller,Q251763,,,,Senator,,NV
Person,Mark E. Amodei,Q23944,,,,Representative,,NV
Person,Suzanne Bonamici,Q45946,,,,Representative,,OR
Person,Suzan K. DelBene,Q2091892,,,,Representative,,WA
Person,Thomas Massie,Q2426031,,,,Representative,,KY
Person,"Donald M. Payne, Jr.",Q1240224,,,,Representative,,NJ
Person,Brian Schatz,Q1827902,,,,Senator,,HI
Person,Bill Foster,Q3639970,,,,Representative,,IL
Person,Dina Titus,Q524440,,,,Representative,,NV
Person,Tom Cotton,Q3090307,,,,Senator,,AR
Person,Kyrsten Sinema,Q1556541,,,,Representative,,AZ
Person,Doug LaMalfa,Q1703840,,,,Representative,,CA
Person,Jared Huffman,Q3276717,,,,Representative,,CA
Person,Ami Bera,Q3389105,,,,Representative,,CA
Person,Paul Cook,Q363260,,,,Representative,,CA
Person,Eric Swalwell,Q3466996,,,,Representative,,CA
Person,David G. Valadao,Q3528567,,,,Representative,,CA
Person,Julia Brownley,Q3577073,,,,Representative,,CA
Person,Tony Cárdenas,Q3620422,,,,Representative,,CA
Person,Raul Ruiz,Q3701994,,,,Representative,,CA
Person,Mark Takano,Q399593,,,,Representative,,CA
Person,Alan S. Lowenthal,Q3740782,,,,Representative,,CA
Person,Juan Vargas,Q3791701,,,,Representative,,CA
Person,Scott H. Peters,Q3791514,,,,Representative,,CA
